"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)","Index"
"INT","Interlaken",577,"633023","169092",201905121340,11.4,0,2,472,40,5.4,51
"JUN","Jungfraujoch",3580,"641930","155275",201905121340,-13.6,-,0,683,94,25.2,-
"KOP","Koppigen",485,"612662","218664",201905121340,11.2,0,0,261,60,23,41
"BRL","La Brévine",1050,"536981","203974",201905121340,8.8,0,10,844,44,23.4,44
"CDF","La Chaux-de-Fonds",1017,"550919","214861",201905121340,9.5,0,10,875,44,21.6,46
"DOL","La Dôle",1669,"497060","142371",201905121340,2.2,0,1,292,76,26.6,35
"LAC","Lachen/Galgenen",468,"707637","226334",201905121340,10.1,0,-,-,54,-,-
"LAG","Langnau i.E.",743,"628003","198793",201905121340,11.1,0,10,839,49,10.8,54
"MLS","Le Moléson",1974,"567718","155076",201905121340,-1.4,0,6,712,92,24.5,33
"LEI","Leibstadt",341,"656373","272121",201905121340,14.1,0,9,703,38,17.3,50
"ATT","Les Attelas",2735,"586854","105302",201905121340,-6.8,-,10,844,73,27.7,-
"CHB","Les Charbonnières",1045,"513821","169387",201905121340,8.1,0,-,-,59,23,-
"DIA","Les Diablerets",2964,"581914","130622",201905121340,-6.8,-,0,587,100,29.9,-
"MAR","Les Marécottes",990,"567375","107577",201905121340,10.9,0,-,-,40,11.5,-
"OTL","Locarno/Monti",366,"704172","114342",201905121340,17.2,0,0,436,25,10.4,49
"LUG","Lugano",273,"717873","95884",201905121340,16.5,0,0,373,27,33.8,40
"LUZ","Luzern",454,"665543","209849",201905121340,11.9,0,1,392,45,6.8,50
"LAE","Lägern",845,"672250","259460",201905121340,7.9,-,2,387,49,19.1,-
"MAG","Magadino/Cadenazzo",203,"715479","113161",201905121340,17.4,0,0,377,24,27.4,40
"MAS","Marsens",714,"571758","167316",201905121340,11,0,-,-,51,26.3,-
"MAH","Mathod",437,"533458","176567",201905121340,14,0,10,881,47,29.2,48
"MTR","Matro",2171,"714263","140943",201905121340,-2.1,-,0,369,56,59.4,-
"MER","Meiringen",588,"655844","175930",201905121340,10.6,0,1,447,47,16.2,44
"MOB","Montagnier, Bagnes",839,"583492","102189",201905121340,11.8,0,-,-,34,11.2,-
"MVE","Montana",1427,"601709","127488",201905121340,6.1,0,10,910,42,23.8,41
"GEN","Monte Generoso",1600,"722503","87456",201905121340,5.4,0,0,378,42,20.5,35
"MRP","Monte Rosa-Plattje",2885,"629149","89520",201905121340,-4.4,-,9,908,53,9,-
"MOA","Mosen",453,"660127","232851",201905121340,13.2,0,10,838,41,13.7,53
"MTE","Mottec",1580,"614325","110730",201905121340,5.3,0,7,706,42,11.2,46
"MOE","Möhlin",343,"633053","269147",201905121340,12.7,0,0,305,53,15.8,46
"MUB","Mühleberg",479,"587792","202479",201905121340,12.2,0,0,508,51,9,50
"MSK","Mühleberg/Stockeren",775,"588150","200125",201905121340,-,-,0,382,-,-,-
"NAS","Naluns/Schlivera",2380,"815374","188987",201905121340,-3.5,-,0,577,67,27,-
"NAP","Napf",1403,"638136","206078",201905121340,5.7,0,9,903,59,13,50
"NEU","Neuchâtel",485,"563086","205559",201905121340,13.1,0,10,909,46,17.3,52
"CGI","Nyon/Changins",455,"506878","139572",201905121340,13.9,0,9,857,45,32.8,47
"OBR","Oberriet/Kriessern",409,"764170","249582",201905121340,7.6,0,-,-,83,8.3,-
"AEG","Oberägeri",724,"688728","220956",201905121340,-,-,-,-,-,-,-
"ORO","Oron",828,"555505","158052",201905121340,10.1,0,10,749,58,29.2,46
"BEH","Passo del Bernina",2260,"798422","143020",201905121340,-2.5,0,0,498,66,49.3,32
"PAY","Payerne",490,"562131","184611",201905121340,13.8,0,10,841,47,22.7,49
"PIL","Pilatus",2106,"661904","203410",201905121340,-3.6,0,0,404,98,25.9,29
"PIO","Piotta",990,"695880","152264",201905121340,9.5,0,2,546,35,8.3,47
"COV","Piz Corvatsch",3302,"783150","143521",201905121340,-11.2,0,0,584,91,42.5,29
"PMA","Piz Martegnas",2670,"760261","160570",201905121340,-7.5,0,0,368,100,47.2,29
"PLF","Plaffeien",1042,"586828","177406",201905121340,6.5,0,0,290,62,20.5,39
"ROB","Poschiavo/Robbia",1078,"801992","136248",201905121340,9.5,0,0,515,35,34.6,36
"PUY","Pully",455,"540819","151510",201905121340,13.8,0,10,862,41,19.8,50
"QUI","Quinten",419,"734848","221278",201905121340,-,-,-,-,-,3.6,-
"ROE","Robièi",1896,"682587","144091",201905121340,0.4,0,10,917,48,31.7,37
"RUE","Rünenberg",611,"633252","253845",201905121340,10.5,0,0,178,45,19.1,40
"SBE","S. Bernardino",1638,"734115","147294",201905121340,1.1,0,0,306,68,16.6,37
"HAI","Salen-Reutenen",718,"719099","279047",201905121340,8,0,0,362,70,15.1,45
"SAM","Samedan",1708,"787249","155685",201905121340,2.8,0,0,493,53,12.2,40
"SAG","Sattel, SZ",790,"690999","215145",201905121340,9.3,0,-,-,60,8.3,-
"SHA","Schaffhausen",438,"688702","282803",201905121340,13.3,0,2,597,37,15.1,47
"SRS","Schiers",626,"769617","205125",201905121340,7.7,0,-,-,71,13,-
"SCM","Schmerikon",408,"713725","231533",201905121340,-,-,-,-,-,11.9,-
"SPF","Schüpfheim",744,"643683","199710",201905121340,9.8,0,0,174,46,19.4,39
"SCU","Scuol",1303,"817137","186393",201905121340,4.7,0,0,565,69,18,41
"SIA","Segl-Maria",1804,"778574","144976",201905121340,2.6,0,0,526,52,30.2,32
"SIM","Simplon-Dorf",1465,"647683","116340",201905121340,7.4,0,1,564,34,22,36
"SIO","Sion",482,"591633","118583",201905121340,15.8,0,10,885,26,18,51
"PRE","St-Prex",425,"523549","148525",201905121340,-,-,-,-,-,33.8,-
"STC","St. Chrischona",493,"618695","269036",201905121340,-,-,0,182,-,-,-
"STG","St. Gallen",775,"747865","254588",201905121340,6.1,0,0,353,64,11.9,44
"SMM","Sta. Maria, Val Müstair",1386,"828861","165579",201905121340,6.4,0,0,381,47,4,47
"SBO","Stabio",353,"716048","77973",201905121340,16,0,0,344,24,12.2,47
"STK","Steckborn",397,"715870","280916",201905121340,-,-,-,-,-,12.2,-
"SAE","Säntis",2502,"744183","234918",201905121340,-8.9,0,0,382,100,30.2,29
"THU","Thun",570,"611200","177640",201905121340,12.6,0,10,835,38,9.7,55
"TIT","Titlis",3040,"675400","180400",201905121340,-10.6,-,0,528,100,23,-
"UEB","Uetliberg",854,"679454","245034",201905121340,-,-,0,232,-,-,-
"ULR","Ulrichen",1345,"666747","150767",201905121340,6.6,0,9,920,55,30.6,43
"VAD","Vaduz",457,"757722","221699",201905121340,7,0,0,116,78,20.2,41
"VAB","Valbella",1568,"761634","180385",201905121340,-0.3,0,0,331,87,39.6,34
"VLS","Vals",1242,"734016","165551",201905121340,4.7,0,-,-,65,10.8,-
"VEV","Vevey/Corseaux",405,"552106","146847",201905121340,11.9,0,5,391,50,11.5,50
"VIO","Vicosoprano",1089,"768485","135866",201905121340,6,0,0,284,57,25.2,35
"VIT","Villars-Tiercelin",859,"544198","163650",201905121340,9.8,0,-,-,59,28.4,-
"VIS","Visp",639,"631150","128024",201905121340,15.4,0,10,1033,32,18.7,52
"WFJ","Weissfluhjoch",2691,"780614","189634",201905121340,-7.8,0,0,434,87,62.3,35
"WYN","Wynau",422,"626404","233848",201905121340,11.9,0,0,128,53,16.2,44
"WAE","Wädenswil",485,"693847","230744",201905121340,11.8,0,0,394,52,18.4,44
"PSI","Würenlingen/PSI",334,"659355","265380",201905121340,14.4,0,5,561,34,-,-
"ZER","Zermatt",1638,"624298","97574",201905121340,7.2,0,10,927,29,31.7,40
"REH","Zürich/Affoltern",443,"681432","253548",201905121340,12.4,0,2,383,41,11.9,47
"SMA","Zürich/Fluntern",555,"685116","248065",201905121340,11.9,0,7,709,41,8.6,53
"KLO","Zürich/Kloten",426,"682710","259338",201905121340,12,0,1,371,45,19.1,43
